dataSymbol,tiingo_name,tiingo_start,tiingo_end,membership_from,membership_to
MFE,McAfee Inc,2006-12-28,2011-03-01,,2011-02-28
MHS,MEDCO HEALTH SOLUTIONS INC,2006-12-28,2013-04-10,2003-08-20,2012-04-02
MIL,MFC Industrial Ltd,1996-05-08,2016-02-12,,2010-07-14
MJN,Mead Johnson Nutrition CO,2009-02-11,2017-07-14,2009-12-21,2017-06-15
MRO,Marathon Oil Corporation,1970-01-02,2024-11-22,,2024-11-23
MTG,MGIC Investment Corp,1991-08-07,2026-08-04,,2008-10-31
MTW,Manitowoc Co. Inc,1990-03-26,2026-08-04,2007-11-16,2009-09-01
MUR,Murphy Oil Corp,1983-04-06,2026-08-04,2005-08-15,2017-07-26
MWV,MeadWestvaco Corp,1985-07-01,2015-07-01,,2015-07-02
MWW,Monster Worldwide Inc,2008-11-11,2016-11-09,2001-06-04,2011-12-19
MXIM,Maxim Integrated Products Inc,1990-03-26,2021-09-01,2000-05-10,2021-08-30
MYL,Mylan N.V.,1987-12-18,2020-11-19,2004-04-23,2020-11-17
NAV,Navistar International Corp,1970-01-02,2021-06-30,,2006-12-20
NAVI,Navient Corp,2014-04-17,2026-08-04,2014-05-01,2018-06-05
NBL,Noble Energy Inc,1982-01-04,2020-10-06,2007-10-08,2020-10-12
NBR,Nabors Industries Ltd,1991-02-28,2026-08-04,2000-10-18,2015-03-23
NC,Nacco Industries Inc - Class A,1977-06-17,2026-08-04,,2000-06-05
NKTR,Nektar Therapeutics,1994-05-03,2026-08-04,2018-03-19,2019-10-03
NLSN,Nielsen Holdings plc,2011-01-27,2022-10-11,2013-07-09,2022-10-12
NOV,NOV Inc,1996-10-29,2026-08-04,2005-03-14,2021-09-20
NVLS,DEFIANCE NVDA LIGHTNINGSPREAD(TM) INCOME ETF ,2006-12-28,2017-07-24,,2012-06-05
NWL,Newell Brands Inc,1984-07-19,2026-08-04,,2023-09-18
NYT,New York Times Co. - Class A,1973-05-03,2026-08-04,,2010-12-20
ODP,ODP Corporation (The),1990-03-26,2026-08-04,,2010-12-20
OGN,Organon & Company,2021-05-14,2026-08-04,2021-06-04,2023-10-18
OI,O-I Glass Inc,1991-12-11,2026-08-04,,2016-12-02
OMX,OFFICEMAX INC,2006-12-28,2013-11-05,,2008-06-23
PBCT,People`s United Financial Inc,1990-03-26,2022-04-04,2008-11-13,2022-04-04
PBG,PEPSI BOTTLING GROUP INC,2001-01-02,2011-03-07,2001-05-14,2010-03-01
PBI,Pitney Bowes Inc,1972-06-01,2026-08-04,,2017-03-01
PCH,PotlatchDeltic Corp,1985-11-11,2026-02-02,,2001-07-09
PCL,PGIM CORPORATE BOND 10+ YEAR ETF ,1989-06-02,2026-08-07,,2016-02-22
PCP,Precision Castparts Corp,2016-01-04,2016-02-08,,2016-02-01
PDCO,Patterson Companies Inc,1992-10-28,2025-04-17,2005-10-11,2018-03-19
PENN,PENN Entertainment Inc,1994-05-26,2026-08-04,2021-03-22,2022-09-19
PETM,PetSmart Inc,1993-07-23,2015-03-11,2012-10-05,2015-03-12
PRGO,Perrigo Company plc,1991-12-17,2026-08-04,2011-12-19,2021-09-20
PVH,PVH Corp,1987-07-10,2026-08-04,2013-02-14,2022-09-19
PXD,Pioneer Natural Resources Company,1997-08-08,2024-05-03,2008-09-24,2024-05-04
QEP,QEP Resources Inc,2010-06-16,2021-03-18,2010-07-01,2015-07-01
QRVO,Qorvo Inc,2015-01-02,2026-08-04,2015-06-12,2024-12-26
R,Ryder System Inc,1980-01-02,2026-08-04,,2017-06-19
RAI,Reynolds American Inc,1999-06-01,2017-08-17,2002-09-04,2017-07-25
RDC,Rowan Companies PLC,1983-04-06,2019-04-11,,2014-08-19
RHI,Robert Half Inc,1992-03-10,2026-08-04,2000-12-05,2024-06-23
RHT,Red Hat Inc,1999-08-11,2019-07-08,2009-07-27,2019-07-15
RIG,Transocean Ltd,1993-05-28,2026-08-06,2013-10-29,2017-07-26
ROH,ROHM HAAS CO,2006-12-28,2009-04-01,,2009-04-02
RRC,Range Resources Corp,1992-12-28,2026-08-04,2007-12-21,2018-06-18
RRD,R.R. Donnelley & Sons Company,1985-07-01,2022-02-25,,2012-12-12
RSH,RadioShack Corp,1982-01-04,2015-02-02,,2011-06-30
RTN,Raytheon Company,1981-12-31,2020-04-03,,2020-04-06
SANM,Sanmina Corp,1993-06-22,2026-08-04,2000-06-21,2007-07-02
SAPE,Sapient Corp,1996-04-04,2015-02-05,2000-05-05,2002-05-13
SBNY,Signature Bank,2004-03-23,2026-08-04,2021-12-20,2023-03-15
SCG,SCANA Corp,1987-12-30,2018-12-31,2009-01-02,2019-01-02
SCI,Service Corp International,1987-07-23,2026-08-04,,2000-03-16
SEDG,Solaredge Technologies Inc,2015-03-26,2026-08-04,2021-12-20,2023-12-17
SEE,Sealed Air Corp,1987-12-30,2026-04-09,,2023-12-17
SIAL,SigmaAldrich Corp,1990-03-26,2015-11-18,,2015-11-18
SIG,Signet Jewelers Ltd,1994-10-31,2026-08-07,2015-07-29,2018-03-19
SLG,SL Green Realty Corp,1997-08-15,2026-08-04,2015-03-23,2021-03-22
SLM,SLM Corp,1988-01-05,2026-08-04,,2014-05-01
SNI,Scripps Networks Interactive Inc,2008-06-12,2018-03-16,2008-07-01,2018-03-07
SNV,Synovus Financial Corp,1990-01-12,2025-12-31,,2008-01-02
SOV,Santander Holdings USA Inc,2006-12-28,2009-01-29,2004-07-01,2009-01-30
SRCL,Stericycle Inc,1996-08-23,2024-11-04,2008-11-19,2018-12-03
SSP,E.W. Scripps Co. - Class A,1990-03-26,2026-08-04,2005-12-20,2008-07-01
STJ,St Jude Medical Inc,1989-12-07,2017-01-18,,2017-01-05
SVU,SUPERVALU INC.,1985-07-01,2018-12-14,,2012-05-01
SWN,Southwestern Energy Company,1987-12-30,2024-10-01,2008-06-06,2017-04-04
SWY,Safeway Inc,1990-04-26,2015-02-09,,2015-01-27
TDC,Teradata Corp,2007-10-01,2026-08-04,2007-10-01,2017-06-19
TEG,Integrys Energy Group Inc,1988-01-05,2015-06-29,,2015-07-01
TEX,Terex Corp,1990-03-26,2026-08-04,2006-12-20,2008-11-06
TFX,Teleflex Incorporated,1988-02-18,2026-08-04,2019-01-18,2025-03-25
TGNA,TEGNA Inc,1985-07-01,2026-03-20,,2017-06-02
THC,Tenet Healthcare Corp,1982-01-04,2026-08-04,,2016-04-18
TIE,Titanium Metals Corp,2006-12-28,2013-01-07,2007-10-29,2012-12-24
TIF,Tiffany & Company,1987-12-30,2021-01-08,2000-06-21,2021-01-07
TKR,Timken Company,1985-07-01,2026-08-04,,2001-08-07
TRIP,TripAdvisor Inc,2011-12-07,2026-08-04,2011-12-21,2019-12-23
TSS,GRANITESHARES 1X SHORT TSLA DAILY ETF ,1989-06-30,2019-09-17,2008-01-02,2019-09-23
TWC,Time Warner Cable Inc,2007-03-01,2016-05-26,2009-03-30,2016-05-18
TWTR,Twitter Inc,2013-11-07,2022-10-28,2018-06-07,2022-11-01
TWX,Time Warner Inc,1992-03-19,2018-06-15,,2018-06-15
UA,Under Armour Inc - Class C,2016-04-07,2026-08-04,2016-04-08,2022-06-21
UAA,Under Armour Inc - Class A,2005-11-18,2026-08-04,2014-05-01,2022-06-21
UIS,Unisys Corp,1972-06-01,2026-08-04,,2008-11-11
UNM,Unum Group,1986-11-06,2026-08-04,,2021-09-20
URBN,Urban Outfitters Inc,1993-11-09,2026-08-07,,2017-03-20
VAR,Varian Medical Systems Inc,1988-01-05,2021-04-16,2007-02-12,2021-04-20
VFC,VF Corp,1985-07-01,2026-08-04,,2024-04-04
VIAB,Viacom Inc,2005-12-05,2019-12-04,2006-01-03,2019-12-05
VNO,Vornado Realty Trust,1988-01-05,2026-08-04,2005-08-12,2023-01-04
VNT,Vontier Corporation,2020-09-25,2026-08-04,2020-10-12,2021-03-22
VTSS,Vitesse Semiconductor Corp,1991-12-11,2015-05-06,2000-12-12,2002-08-21
WBA,Walgreens Boots Alliance Inc,1985-07-01,2025-08-28,,2025-08-28
WCG,WellCare Health Plans Inc,2004-07-01,2020-01-23,2018-09-17,2020-01-28
WEN,Wendy`s Co - Class A,1992-03-17,2026-08-04,,2008-09-30
WFM,Whole Foods Market Inc,1992-01-23,2017-08-29,2006-01-03,2017-08-28
WHR,Whirlpool Corp,1983-06-10,2026-08-04,,2024-03-18
WOR,Worthington Enterprises Inc,1990-03-26,2026-08-04,,2004-12-20
WPX,WPX Energy Inc,2011-12-12,2021-01-14,2012-01-03,2014-03-24
WU,Western Union Company,2006-10-02,2026-08-04,2006-10-02,2021-12-20
WYN,Wyndham Worldwide Corp,2006-07-19,2018-05-31,,2018-05-31
X,United States Steel Corp,1991-04-12,2025-06-18,,2014-07-02
XEC,Cimarex Energy Company,2002-09-25,2021-10-04,2014-06-20,2020-03-03
XL,XL Group plc,1991-07-19,2018-09-13,,2018-09-14
XLNX,Xilinx Inc,1990-06-18,2022-02-14,,2022-02-15
XRAY,DENTSPLY Sirona Inc,1991-04-25,2026-08-04,2008-11-14,2024-04-04
XRX,Xerox Holdings Corp,1977-01-03,2026-08-04,,2021-03-22
XTO,XTO ENERGY INC,2001-01-02,2013-02-07,2004-12-29,2010-06-28
YHOO,Yahoo Inc,1996-04-12,2017-06-26,1999-12-08,2017-06-19
ZION,Zions Bancorporation N.A,1990-03-26,2026-08-04,2001-06-25,2024-03-18
